ID,source_id,augmentation,source_dice,dataset,diagnosis,diagnosis_id
0000071_hflip,0000071,hflip,0.5749128919860628,isic2017,unknown,0
0000071_vflip,0000071,vflip,0.5749128919860628,isic2017,unknown,0
0000071_rot90,0000071,rot90,0.5749128919860628,isic2017,unknown,0
0000071_rot270,0000071,rot270,0.5749128919860628,isic2017,unknown,0
0000071_shiftR10blur,0000071,shiftR10blur,0.5749128919860628,isic2017,unknown,0
0000091_hflip,0000091,hflip,0.5788576025744168,isic2017,unknown,0
0000091_vflip,0000091,vflip,0.5788576025744168,isic2017,unknown,0
0000091_rot90,0000091,rot90,0.5788576025744168,isic2017,unknown,0
0000091_rot270,0000091,rot270,0.5788576025744168,isic2017,unknown,0
0000091_shiftR10blur,0000091,shiftR10blur,0.5788576025744168,isic2017,unknown,0
0000096_hflip,0000096,hflip,0.6276815024047637,isic2017,unknown,0
0000096_vflip,0000096,vflip,0.6276815024047637,isic2017,unknown,0
0000096_rot90,0000096,rot90,0.6276815024047637,isic2017,unknown,0
0000096_rot270,0000096,rot270,0.6276815024047637,isic2017,unknown,0
0000096_shiftR10blur,0000096,shiftR10blur,0.6276815024047637,isic2017,unknown,0
0000098_hflip,0000098,hflip,0.5866286180187525,isic2017,unknown,0
0000098_vflip,0000098,vflip,0.5866286180187525,isic2017,unknown,0
0000098_rot90,0000098,rot90,0.5866286180187525,isic2017,unknown,0
0000098_rot270,0000098,rot270,0.5866286180187525,isic2017,unknown,0
0000098_shiftR10blur,0000098,shiftR10blur,0.5866286180187525,isic2017,unknown,0
0000123_hflip,0000123,hflip,0.6955430722290342,isic2017,unknown,0
0000123_vflip,0000123,vflip,0.6955430722290342,isic2017,unknown,0
0000123_rot90,0000123,rot90,0.6955430722290342,isic2017,unknown,0
0000123_rot270,0000123,rot270,0.6955430722290342,isic2017,unknown,0
0000123_shiftR10blur,0000123,shiftR10blur,0.6955430722290342,isic2017,unknown,0
0000317_hflip,0000317,hflip,0.6622182680901542,isic2017,unknown,0
0000317_vflip,0000317,vflip,0.6622182680901542,isic2017,unknown,0
0000317_rot90,0000317,rot90,0.6622182680901542,isic2017,unknown,0
0000317_rot270,0000317,rot270,0.6622182680901542,isic2017,unknown,0
0000317_shiftR10blur,0000317,shiftR10blur,0.6622182680901542,isic2017,unknown,0
0000323_hflip,0000323,hflip,0.6176847977684797,isic2017,unknown,0
0000323_vflip,0000323,vflip,0.6176847977684797,isic2017,unknown,0
0000323_rot90,0000323,rot90,0.6176847977684797,isic2017,unknown,0
0000323_rot270,0000323,rot270,0.6176847977684797,isic2017,unknown,0
0000323_shiftR10blur,0000323,shiftR10blur,0.6176847977684797,isic2017,unknown,0
0000345_hflip,0000345,hflip,0.5476434426229508,isic2017,unknown,0
0000345_vflip,0000345,vflip,0.5476434426229508,isic2017,unknown,0
0000345_rot90,0000345,rot90,0.5476434426229508,isic2017,unknown,0
0000345_rot270,0000345,rot270,0.5476434426229508,isic2017,unknown,0
0000345_shiftR10blur,0000345,shiftR10blur,0.5476434426229508,isic2017,unknown,0
0000520_hflip,0000520,hflip,0.6092191571569773,isic2017,unknown,0
0000520_vflip,0000520,vflip,0.6092191571569773,isic2017,unknown,0
0000520_rot90,0000520,rot90,0.6092191571569773,isic2017,unknown,0
0000520_rot270,0000520,rot270,0.6092191571569773,isic2017,unknown,0
0000520_shiftR10blur,0000520,shiftR10blur,0.6092191571569773,isic2017,unknown,0
0001126_hflip,0001126,hflip,0.6015503875968993,isic2017,unknown,0
0001126_vflip,0001126,vflip,0.6015503875968993,isic2017,unknown,0
0001126_rot90,0001126,rot90,0.6015503875968993,isic2017,unknown,0
0001126_rot270,0001126,rot270,0.6015503875968993,isic2017,unknown,0
0001126_shiftR10blur,0001126,shiftR10blur,0.6015503875968993,isic2017,unknown,0
0008406_hflip,0008406,hflip,0.6121465703055661,isic2017,unknown,0
0008406_vflip,0008406,vflip,0.6121465703055661,isic2017,unknown,0
0008406_rot90,0008406,rot90,0.6121465703055661,isic2017,unknown,0
0008406_rot270,0008406,rot270,0.6121465703055661,isic2017,unknown,0
0008406_shiftR10blur,0008406,shiftR10blur,0.6121465703055661,isic2017,unknown,0
0008992_hflip,0008992,hflip,0.6661685966878347,isic2017,unknown,0
0008992_vflip,0008992,vflip,0.6661685966878347,isic2017,unknown,0
0008992_rot90,0008992,rot90,0.6661685966878347,isic2017,unknown,0
0008992_rot270,0008992,rot270,0.6661685966878347,isic2017,unknown,0
0008992_shiftR10blur,0008992,shiftR10blur,0.6661685966878347,isic2017,unknown,0
0009872_hflip,0009872,hflip,0.3090946333469889,isic2017,unknown,0
0009872_vflip,0009872,vflip,0.3090946333469889,isic2017,unknown,0
0009872_rot90,0009872,rot90,0.3090946333469889,isic2017,unknown,0
0009872_rot270,0009872,rot270,0.3090946333469889,isic2017,unknown,0
0009872_shiftR10blur,0009872,shiftR10blur,0.3090946333469889,isic2017,unknown,0
0010024_hflip,0010024,hflip,0.6567804878048781,isic2017,unknown,0
0010024_vflip,0010024,vflip,0.6567804878048781,isic2017,unknown,0
0010024_rot90,0010024,rot90,0.6567804878048781,isic2017,unknown,0
0010024_rot270,0010024,rot270,0.6567804878048781,isic2017,unknown,0
0010024_shiftR10blur,0010024,shiftR10blur,0.6567804878048781,isic2017,unknown,0
0010246_hflip,0010246,hflip,0.5138536802312653,isic2017,unknown,0
0010246_vflip,0010246,vflip,0.5138536802312653,isic2017,unknown,0
0010246_rot90,0010246,rot90,0.5138536802312653,isic2017,unknown,0
0010246_rot270,0010246,rot270,0.5138536802312653,isic2017,unknown,0
0010246_shiftR10blur,0010246,shiftR10blur,0.5138536802312653,isic2017,unknown,0
0010265_hflip,0010265,hflip,0.5989790877655196,isic2017,unknown,0
0010265_vflip,0010265,vflip,0.5989790877655196,isic2017,unknown,0
0010265_rot90,0010265,rot90,0.5989790877655196,isic2017,unknown,0
0010265_rot270,0010265,rot270,0.5989790877655196,isic2017,unknown,0
0010265_shiftR10blur,0010265,shiftR10blur,0.5989790877655196,isic2017,unknown,0
0010379_hflip,0010379,hflip,0.6063725840661567,isic2017,unknown,0
0010379_vflip,0010379,vflip,0.6063725840661567,isic2017,unknown,0
0010379_rot90,0010379,rot90,0.6063725840661567,isic2017,unknown,0
0010379_rot270,0010379,rot270,0.6063725840661567,isic2017,unknown,0
0010379_shiftR10blur,0010379,shiftR10blur,0.6063725840661567,isic2017,unknown,0
0010468_hflip,0010468,hflip,0.653685851547835,isic2017,unknown,0
0010468_vflip,0010468,vflip,0.653685851547835,isic2017,unknown,0
0010468_rot90,0010468,rot90,0.653685851547835,isic2017,unknown,0
0010468_rot270,0010468,rot270,0.653685851547835,isic2017,unknown,0
0010468_shiftR10blur,0010468,shiftR10blur,0.653685851547835,isic2017,unknown,0
0010862_hflip,0010862,hflip,0.57321713514177,isic2017,unknown,0
0010862_vflip,0010862,vflip,0.57321713514177,isic2017,unknown,0
0010862_rot90,0010862,rot90,0.57321713514177,isic2017,unknown,0
0010862_rot270,0010862,rot270,0.57321713514177,isic2017,unknown,0
